Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Lady Elizabeth,Alison Weir,"",B001DQYOSY,digital,read,2025/03/17,"","",1,"",,,,,,,,,"",,"",Yes
Head First HTML with CSS & XHTML,Elisabeth Robson,"Eric Freeman, Rich Gibson, Kathy Sierra",9780596101978,paperback,read,2011/04/09,2013/01/26,2013/01/26,1,"",,,,,,,5.0,,"",,"",Yes
Unbelievable: My Front-Row Seat to the Craziest Campaign in American History,Katy Tur,"",9780062684929,hardcover,read,2017/09/20,"","",2,"",,,,,,,4.0,,"",,"",No
Running: Getting Started,Jeff Galloway,"",9781841267418,digital,paused,2022/10/16,"","",0,"",,,,,,,,,"",,"",Yes
Parker Girls #4,Terry Moore,"",B0BPK3QX1J,digital,read,2023/01/12,2023/01/12,2023/01/12,2,"",,,,,,,5.0,,"",,"",No
A Game of Thrones,George R.R. Martin,"",9780553588484,paperback,read,2014/06/16,2016/05/09,2016/05/09,3,"",,,,,,,5.0,6th,"",,"",No
Anna of Kleve: The Princess in the Portrait,Alison Weir,"",9781101966570,hardcover,read,2019/05/14,2019/05/17,2019/05/17,4,"",,,,,,,5.0,,"",,"",Yes
Night Shift,Stephen King,"",9780385528849,digital,read,2019/09/27,"","",1,"",,,,,,,4.0,,"",,"",Yes
The Outsiders,S.E. Hinton,"",9780140385724,paperback,read,2013/02/17,"","",1,"",,,,,,,3.0,,"",,"",No
"Elizabeth I: Red Rose of the House of Tudor, England, 1544",Kathryn Lasky,"",9780590684842,hardcover,read,2012/09/30,2012/09/29,2012/09/29,1,"",,,,,,,3.0,,"",,"",No
The Hunger Games,Suzanne Collins,"",9780439023481,hardcover,read,2012/02/18,2025/04/24,"2025/04/22-2025/04/24, 2012/02/19",4,"",,,,,,,4.0,,"",,"",Yes
Mockingjay,Suzanne Collins,"",9780439023511,hardcover,read,2012/02/27,2025/04/28,"2025/04/25-2025/04/28, 2012/02/29",5,"",,,,,,,5.0,,"",,"",Yes
Eye of the Storm,V.C. Andrews,"",9780671039837,hardcover,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Fallen Hearts,V.C. Andrews,"",9780671729400,paperback,read,2013/10/07,"","",1,"",,,,,,,2.0,,"",,"",No
Dragonfly in Amber,Diana Gabaldon,"",9780385302319,hardcover,read,2025/03/09,"","",1,"",,,,,,,,,"",,"",Yes
Pretty Little Liars,Sara Shepard,"",9783641013135,digital,read,2014/07/14,"","",1,"",,,,,,,2.0,,"",,"",No
Skeleton Crew,Stephen King,"",9780751504385,paperback,read,2018/01/22,2018/02/04,2018/02/04,2,"",,,,,,,4.0,,"",,"",No
The Six Wives of Henry VIII,Alison Weir,"",9780802198754,digital,read,2011/04/10,"","",6,"",,,,,,,5.0,,"",,"",Yes
Into the Drowning Deep,Mira Grant,"",9780316379373,paperback,read,2021/03/18,2021/03/19,2021/03/19,3,"",,,,,,,4.0,"Although you don’t have to I recommend reading rolling in the deep, the e-novella before this one.","",,"",Yes
